"Estimated.HIV.Prevalence.....Ages.15.49.","year","Percentage 15-45"
"3489","Jamaica","X1992",2.2
"3490","Japan","X1992",0.06
"3493","Kazakhstan","X1992",0.06
"3494","Kenya","X1992",7
"3497","South Korea","X1992",0.06
"3501","Kyrgyz Republic","X1992",0.06
"3502","Lao","X1992",0.06
"3503","Latvia","X1992",0.06
"3504","Lebanon","X1992",0.06
"3505","Lesotho","X1992",3.3
"3506","Liberia","X1992",1
"3509","Lithuania","X1992",0.06
"3510","Luxembourg","X1992",0.1
"3513","Madagascar","X1992",0.2
"3514","Malawi","X1992",10.5
"3515","Malaysia","X1992",0.1
"3516","Maldives","X1992",0.06
"3517","Mali","X1992",1
"3518","Malta","X1992",0.06
"3521","Mauritania","X1992",0.2
"3522","Mauritius","X1992",0.1
"3524","Mexico","X1992",0.4
"3526","Moldova","X1992",0.1
"3528","Mongolia","X1992",0.06
"3531","Morocco","X1992",0.06
"3532","Mozambique","X1992",2.1
"3533","Myanmar","X1992",0.4
"3534","Namibia","X1992",3
"3536","Nepal","X1992",0.3
"3537","Netherlands","X1992",0.1
"3540","New Zealand","X1992",0.1
"3542","Nicaragua","X1992",0.06
"3543","Niger","X1992",0.2
"3544","Nigeria","X1992",3.1
"3549","Norway","X1992",0.1
"3550","Oman","X1992",0.06
"3551","Pakistan","X1992",0.06
"3553","Panama","X1992",0.3
"3554","Papua New Guinea","X1992",0.06
"3555","Paraguay","X1992",0.2
"3556","Peru","X1992",0.5
"3557","Philippines","X1992",0.06
"3559","Poland","X1992",0.06
"3560","Portugal","X1992",0.2
"3562","Qatar","X1992",0.06
"3564","Romania","X1992",0.06
"3565","Russia","X1992",0.06
"3566","Rwanda","X1992",5.1
"3578","Senegal","X1992",0.2
"3579","Serbia","X1992",0.1
"3583","Sierra Leone","X1992",0.1
"3584","Singapore","X1992",0.1
"3585","Slovak Republic","X1992",0.06
"3586","Slovenia","X1992",0.06
"3588","Somalia","X1992",0.1
"3590","South Africa","X1992",1.8
"3592","Spain","X1992",0.4
"3593","Sri Lanka","X1992",0.06
"3594","Sudan","X1992",0.1
"3595","Suriname","X1992",0.2
"3597","Swaziland","X1992",4.4
"3598","Sweden","X1992",0.1
"3599","Switzerland","X1992",0.3
"3602","Tajikistan","X1992",0.06
"3603","Tanzania","X1992",6.5
"3604","Thailand","X1992",1.8
"3606","Togo","X1992",1.2
"3610","Trinidad and Tobago","X1992",0.4
"3611","Tunisia","X1992",0.06
"3612","Turkey","X1992",0.06
"3616","Uganda","X1992",10.5
"3617","Ukraine","X1992",0.2
"3619","United Kingdom","X1992",0.1
"3620","United States","X1992",0.5
"3621","Uruguay","X1992",0.1
"3623","Uzbekistan","X1992",0.06
"3630","Vietnam","X1992",0.06
"3636","Zambia","X1992",14.2
"3637","Zimbabwe","X1992",17.2
"3640","Cote dIvoire","X1992",4.4
"3645","Algeria","X1993",0.06
"3648","Angola","X1993",1.2
"3651","Argentina","X1993",0.3
"3652","Armenia","X1993",0.06
"3654","Australia","X1993",0.1
"3655","Austria","X1993",0.06
"3656","Azerbaijan","X1993",0.06
"3657","Bahamas","X1993",3.9
"3659","Bangladesh","X1993",0.06
"3660","Barbados","X1993",0.1
"3661","Belarus","X1993",0.06
"3662","Belgium","X1993",0.1
"3663","Belize","X1993",1.2
"3664","Benin","X1993",0.7
"3666","Bhutan","X1993",0.06
"3667","Bolivia","X1993",0.2
"3669","Botswana","X1993",10.1
"3670","Brazil","X1993",0.4
"3673","Bulgaria","X1993",0.06
"3674","Burkina Faso","X1993",3.8
"3675","Burundi","X1993",5.5
"3676","Cambodia","X1993",1.2
"3677","Cameroon","X1993",2.5
"3678","Canada","X1993",0.2
"3681","Central African Republic","X1993",7.9
"3682","Chad","X1993",1.7
"3684","Chile","X1993",0.1
"3688","Colombia","X1993",0.5
"3689","Comoros","X1993",0.06
"3691","Congo, Rep.","X1993",4.8
"3693","Costa Rica","X1993",0.06
"3694","Croatia","X1993",0.06
"3695","Cuba","X1993",0.06
"3697","Czech Republic","X1993",0.06
"3699","Denmark","X1993",0.1
"3700","Djibouti","X1993",1.7
"3702","Dominican Republic","X1993",0.7
"3704","Ecuador","X1993",0.5
"3705","Egypt","X1993",0.06
"3706","El Salvador","X1993",0.2
"3707","Equatorial Guinea","X1993",0.3
"3708","Eritrea","X1993",0.8
"3710","Estonia","X1993",0.06
"3714","Fiji","X1993",0.06
"3715","Finland","X1993",0.06
"3716","France","X1993",0.3
"3719","Gabon","X1993",2
"3720","Gambia","X1993",0.2
"3721","Georgia","X1993",0.06
"3722","Germany","X1993",0.1
"3723","Ghana","X1993",0.9
"3725","Greece","X1993",0.1
"3730","Guatemala","X1993",0.2
"3732","Guinea","X1993",1.7
"3733","Guinea-Bissau","X1993",0.6
"3734","Guyana","X1993",2.5
"3735","Haiti","X1993",3.3
"3737","Honduras","X1993",1.4
"3739","Hungary","X1993",0.1
"3740","Iceland","X1993",0.1
"3741","India","X1993",0.2
"3742","Indonesia","X1993",0.06
"3743","Iran","X1993",0.06
"3745","Ireland","X1993",0.1
"3747","Israel","X1993",0.1
"3748","Italy","X1993",0.3
"3749","Jamaica","X1993",2.2
"3750","Japan","X1993",0.06
"3753","Kazakhstan","X1993",0.06
"3754","Kenya","X1993",8.4
"3757","South Korea","X1993",0.06
"3761","Kyrgyz Republic","X1993",0.06
"3762","Lao","X1993",0.06
"3763","Latvia","X1993",0.1
"3764","Lebanon","X1993",0.1
"3765","Lesotho","X1993",5.9
"3766","Liberia","X1993",1.7
"3769","Lithuania","X1993",0.06
"3770","Luxembourg","X1993",0.1
"3773","Madagascar","X1993",0.2
"3774","Malawi","X1993",11.9
"3775","Malaysia","X1993",0.2
"3776","Maldives","X1993",0.06
"3777","Mali","X1993",1.4
"3778","Malta","X1993",0.06
"3781","Mauritania","X1993",0.3
"3782","Mauritius","X1993",0.1
"3784","Mexico","X1993",0.4
"3786","Moldova","X1993",0.1
"3788","Mongolia","X1993",0.06
"3791","Morocco","X1993",0.06
"3792","Mozambique","X1993",2.7
"3793","Myanmar","X1993",0.4
"3794","Namibia","X1993",4.1
"3796","Nepal","X1993",0.3
"3797","Netherlands","X1993",0.1
"3800","New Zealand","X1993",0.06
"3802","Nicaragua","X1993",0.1
"3803","Niger","X1993",0.3
"3804","Nigeria","X1993",3.6
"3809","Norway","X1993",0.1
"3810","Oman","X1993",0.06
"3811","Pakistan","X1993",0.06
"3813","Panama","X1993",0.4
"3814","Papua New Guinea","X1993",0.1
"3815","Paraguay","X1993",0.2
"3816","Peru","X1993",0.5
"3817","Philippines","X1993",0.06
"3819","Poland","X1993",0.1
"3820","Portugal","X1993",0.2
"3822","Qatar","X1993",0.06
"3824","Romania","X1993",0.1
"3825","Russia","X1993",0.06
"3826","Rwanda","X1993",5
"3838","Senegal","X1993",0.3
"3839","Serbia","X1993",0.1
"3843","Sierra Leone","X1993",0.1
"3844","Singapore","X1993",0.1
"3845","Slovak Republic","X1993",0.06
"3846","Slovenia","X1993",0.06
"3848","Somalia","X1993",0.1
"3850","South Africa","X1993",2.9
"3852","Spain","X1993",0.5
"3853","Sri Lanka","X1993",0.06
"3854","Sudan","X1993",0.1
"3855","Suriname","X1993",0.4
"3857","Swaziland","X1993",6.1
"3858","Sweden","X1993",0.1
"3859","Switzerland","X1993",0.3
"3862","Tajikistan","X1993",0.06
"3863","Tanzania","X1993",7.1
"3864","Thailand","X1993",2
"3866","Togo","X1993",1.6
"3870","Trinidad and Tobago","X1993",0.5
"3871","Tunisia","X1993",0.06
"3872","Turkey","X1993",0.06
"3876","Uganda","X1993",10.2
"3877","Ukraine","X1993",0.2
"3879","United Kingdom","X1993",0.1
"3880","United States","X1993",0.5
"3881","Uruguay","X1993",0.1
"3883","Uzbekistan","X1993",0.06
"3890","Vietnam","X1993",0.1
"3896","Zambia","X1993",14.6
"3897","Zimbabwe","X1993",20.6
"3900","Cote dIvoire","X1993",5.5
"3905","Algeria","X1994",0.06
"3908","Angola","X1994",1.4
"3911","Argentina","X1994",0.3
"3912","Armenia","X1994",0.06
"3914","Australia","X1994",0.1
"3915","Austria","X1994",0.06
"3916","Azerbaijan","X1994",0.06
"3917","Bahamas","X1994",3.8
"3919","Bangladesh","X1994",0.06
"3920","Barbados","X1994",0.1
"3921","Belarus","X1994",0.06
"3922","Belgium","X1994",0.1
"3923","Belize","X1994",1.4
"3924","Benin","X1994",0.9
"3926","Bhutan","X1994",0.06
"3927","Bolivia","X1994",0.2
"3929","Botswana","X1994",13.3
"3930","Brazil","X1994",0.4
"3933","Bulgaria","X1994",0.06
"3934","Burkina Faso","X1994",3.6
"3935","Burundi","X1994",5.8
"3936","Cambodia","X1994",1.3
"3937","Cameroon","X1994",3.4
"3938","Canada","X1994",0.2
"3941","Central African Republic","X1994",9
"3942","Chad","X1994",1.9
"3944","Chile","X1994",0.1
"3948","Colombia","X1994",0.6
"3949","Comoros","X1994",0.06
"3951","Congo, Rep.","X1994",4.6
"3953","Costa Rica","X1994",0.06
"3954","Croatia","X1994",0.06
"3955","Cuba","X1994",0.06
"3957","Czech Republic","X1994",0.06
"3959","Denmark","X1994",0.1
"3960","Djibouti","X1994",2
"3962","Dominican Republic","X1994",0.8
"3964","Ecuador","X1994",0.5
"3965","Egypt","X1994",0.06
"3966","El Salvador","X1994",0.3
"3967","Equatorial Guinea","X1994",0.3
"3968","Eritrea","X1994",0.9
"3970","Estonia","X1994",0.1
"3974","Fiji","X1994",0.06
"3975","Finland","X1994",0.06
"3976","France","X1994",0.3
"3979","Gabon","X1994",2.6
"3980","Gambia","X1994",0.2
"3981","Georgia","X1994",0.06
"3982","Germany","X1994",0.1
"3983","Ghana","X1994",1.3
"3985","Greece","X1994",0.1
"3990","Guatemala","X1994",0.2
"3992","Guinea","X1994",1.8
"3993","Guinea-Bissau","X1994",0.7
"3994","Guyana","X1994",2.3
"3995","Haiti","X1994",3.6
"3997","Honduras","X1994",1.5
"3999","Hungary","X1994",0.1
"4000","Iceland","X1994",0.1
"4001","India","X1994",0.2
"4002","Indonesia","X1994",0.06
"4003","Iran","X1994",0.06
"4005","Ireland","X1994",0.1
"4007","Israel","X1994",0.1
"4008","Italy","X1994",0.3
"4009","Jamaica","X1994",2.2
"4010","Japan","X1994",0.06
"4013","Kazakhstan","X1994",0.06
"4014","Kenya","X1994",9.6
"4017","South Korea","X1994",0.06
"4021","Kyrgyz Republic","X1994",0.06
"4022","Lao","X1994",0.06
"4023","Latvia","X1994",0.1
"4024","Lebanon","X1994",0.1
"4025","Lesotho","X1994",9.8
"4026","Liberia","X1994",2.5
"4029","Lithuania","X1994",0.06
"4030","Luxembourg","X1994",0.1
"4033","Madagascar","X1994",0.2
"4034","Malawi","X1994",13.1
"4035","Malaysia","X1994",0.3
"4036","Maldives","X1994",0.06
"4037","Mali","X1994",1.7
"4038","Malta","X1994",0.1
"4041","Mauritania","X1994",0.3
"4042","Mauritius","X1994",0.1
"4044","Mexico","X1994",0.3
"4046","Moldova","X1994",0.1
"4048","Mongolia","X1994",0.06
"4051","Morocco","X1994",0.06
"4052","Mozambique","X1994",3.4
"4053","Myanmar","X1994",0.5
"4054","Namibia","X1994",5.5
"4056","Nepal","X1994",0.4
"4057","Netherlands","X1994",0.1
"4060","New Zealand","X1994",0.06
"4062","Nicaragua","X1994",0.1
"4063","Niger","X1994",0.4
"4064","Nigeria","X1994",3.8
"4069","Norway","X1994",0.1
"4070","Oman","X1994",0.06
"4071","Pakistan","X1994",0.06
"4073","Panama","X1994",1.1
"4074","Papua New Guinea","X1994",0.1
"4075","Paraguay","X1994",0.2
"4076","Peru","X1994",0.5
"4077","Philippines","X1994",0.06
"4079","Poland","X1994",0.1
"4080","Portugal","X1994",0.3
"4082","Qatar","X1994",0.06
"4084","Romania","X1994",0.1
"4085","Russia","X1994",0.06
"4086","Rwanda","X1994",4.9
"4098","Senegal","X1994",0.3
"4099","Serbia","X1994",0.1
"4103","Sierra Leone","X1994",0.1
"4104","Singapore","X1994",0.1
